feature_name,user,inferred,reason
736,,cont,All values are not integers and convert to float
737,,cont,All values are not integers and convert to float
738,,cont,All values are not integers and convert to float
739,,cont,All values are not integers and convert to float
74,,cont,All values are not integers and convert to float
740,,cont,All values are not integers and convert to float
741,,cont,All values are not integers and convert to float
742,,cont,All values are not integers and convert to float
743,,cont,All values are not integers and convert to float
744,,cont,All values are not integers and convert to float
745,,cont,All values are not integers and convert to float
746,,cont,All values are not integers and convert to float
747,,cont,All values are not integers and convert to float
748,,cont,All values are not integers and convert to float
749,,cont,All values are not integers and convert to float
75,,cont,All values are not integers and convert to float
750,,cont,All values are not integers and convert to float
751,,cont,All values are not integers and convert to float
752,,cont,All values are not integers and convert to float
753,,cont,All values are not integers and convert to float
754,,cont,All values are not integers and convert to float
755,,cont,All values are not integers and convert to float
756,,cont,All values are not integers and convert to float
757,,cont,All values are not integers and convert to float
758,,cont,All values are not integers and convert to float
759,,cont,All values are not integers and convert to float
76,,cont,All values are not integers and convert to float
760,,cont,All values are not integers and convert to float
761,,cont,All values are not integers and convert to float
762,,cont,All values are not integers and convert to float
763,,cont,All values are not integers and convert to float
764,,cont,All values are not integers and convert to float
765,,cont,All values are not integers and convert to float
766,,cont,All values are not integers and convert to float
767,,cont,All values are not integers and convert to float
77,,cont,All values are not integers and convert to float
78,,cont,All values are not integers and convert to float
79,,cont,All values are not integers and convert to float
8,,cont,All values are not integers and convert to float
80,,cont,All values are not integers and convert to float
81,,cont,All values are not integers and convert to float
82,,cont,All values are not integers and convert to float
83,,cont,All values are not integers and convert to float
84,,cont,All values are not integers and convert to float
85,,cont,All values are not integers and convert to float
86,,cont,All values are not integers and convert to float
87,,cont,All values are not integers and convert to float
88,,cont,All values are not integers and convert to float
89,,cont,All values are not integers and convert to float
9,,cont,All values are not integers and convert to float
90,,cont,All values are not integers and convert to float
91,,cont,All values are not integers and convert to float
92,,cont,All values are not integers and convert to float
93,,cont,All values are not integers and convert to float
94,,cont,All values are not integers and convert to float
95,,cont,All values are not integers and convert to float
96,,cont,All values are not integers and convert to float
97,,cont,All values are not integers and convert to float
98,,cont,All values are not integers and convert to float
99,,cont,All values are not integers and convert to float
text,,id?,More unique values than one half of number of non-NaN samples
